MetroArea,GoodHealth,SeenDoctor12mo,CholestCheck,Exercise,Smoke,BingeDrink,City,Asthma
"Boston-Quincy, Massachusetts†",86,78.6,83.2,34.7,17.2,22.4,Boston,10.1
"Boulder, Colorado",87.8,58.5,77,47.8,11.3,17.1,,8.9
"Bozeman, Montana",90.8,45.6,69,41.9,15.8,24.9,,6.9
"Bridgeport-Stamford-Norwalk, Connecticut",86.4,69.1,80.6,34.7,14.4,18.1,,7.5
"Brookings, South Dakota",92.4,57.2,69.2,30.3,21.9,23.7,,2.9
"Buffalo-Cheektowaga-Tonawanda, New York",85.3,77.6,82,36.1,19.9,23.6,,8.1
"Burlington-South Burlington, Vermont",90,63.9,75.9,37.8,16.2,21.3,,11.9
"Cambridge-Newton-Framingham, Massachusetts†",90.1,77,85.2,35,14.5,19.6,,9.7
"Camden, New Jersey†",84.8,73.5,78.5,32.8,21,16.7,,10.3
"Canton-Massillon, Ohio",81.8,72.4,76.4,35.7,26.6,20.1,,11.2
"Casper, Wyoming",81.5,54.1,71.3,30,30.6,22.3,,9.1
"Cedar Rapids, Iowa",87.7,68.7,78.8,28.3,23.3,21.7,,9
"Charleston, West Virginia",72.6,73.9,80.7,25.3,27.9,7.7,,8.9
"Charleston-North Charleston, South Carolina",82.5,65.4,74.3,29.4,23.7,21,,7.9
"Charlotte-Gastonia-Concord, North Carolina-South Carolina",83.6,68.5,78,29,18.7,18.2,Charlotte,7.9
"Chattanooga, Tennessee-Georgia",76.5,75.2,78.7,23.6,26.4,17.4,,N/A†
"Cheyenne, Wyoming",85.7,57.5,75,32.1,21.6,14.6,,10.5
"Chicago-Naperville-Joliet, Illinois-Indiana-Wisconsin",82.2,63.9,73.7,31,19.5,23.5,Chicago,7.7
"Cincinnati-Middletown, Ohio-Kentucky-Indiana",85.1,69.7,76.3,31.9,25.4,21.5,,9.2
"Cleveland-Elyria-Mentor, Ohio",81.8,71.4,80.3,35.7,23,19.2,Cleveland,7.7
"Colorado Springs, Colorado",86.2,62.3,74.8,39.8,17.6,15.8,Colorado Springs,8.4
"Columbia, South Carolina",81.1,68.3,81.2,30.1,21.2,18.1,,8.4
"Columbus, Nebraska",84.8,57.4,72.5,25.7,15.4,28.4,,4.7
"Columbus, Ohio",82.9,71.7,76.1,31.3,22,20.2,Columbus,8.8
"Concord, New Hampshire",85.6,70.1,79.6,33.1,21.5,16.3,,10.1
"Dallas-Plano-Irving, Texas†",85.2,59.8,71.2,26.9,16.8,17.2,Dallas,6.3
"Davenport-Moline-Rock Island, Iowa-Illinois",88.1,69.3,77,27.8,19.3,24.6,,8.2
"Dayton, Ohio",81,70.7,77.6,29.6,20.6,18.8,,11.7
"Denver-Aurora, Colorado",85.9,59.8,77.3,39.6,17.6,21,Denver,7.9
"Des Moines - West Des Moines, Iowa†",87.4,67.6,74.7,27.5,21.2,24.2,,8.9
"Detroit-Livonia-Dearborn, Michigan",78.4,69.3,75.1,30.3,25.8,17.2,Detroit,13
"Dover, Delaware",84,77.2,79.7,23.9,25.1,16.2,,11.3
"Duluth, Minnesota-Wisconsin",86.2,67.5,72.1,36.1,21.9,23.8,,8.3
"Durham, North Carolina",83.9,75.4,78.9,29.4,18.1,19.2,,7.2
"Edison, New Jersey†",86.3,74.5,83.9,33.8,14.7,19.4,,8.3
"Eugene-Springfield, Oregon",81.8,52.9,75,40.2,20,18.5,,9.5
"Evansville, Indiana-Kentucky",78.3,70.7,79.2,26.3,24.8,11.7,,11.7
"Fairbanks, Alaska",88.4,55.2,67.7,38.5,20.6,20.2,,7.5
"Fargo, North Dakota-Minnesota",87.9,64.4,70.4,24.4,20.4,28.2,,7.3
"Farmington, New Mexico",79.5,59,72.5,34.5,22.4,10.2,,9.7
"Fayetteville-Springdale-Rogers, Arkansas-Missouri",83.7,59.5,62.7,29.1,20.5,12.2,,6.8
"Fort Collins-Loveland, Colorado",89.2,57.8,70.6,38.5,16.3,26.4,,8.1
"Fort Wayne, Indiana",83.7,57.9,69.8,32.4,25.3,15.1,,7.4
"Fort Worth-Arlington, Texas†",82.8,63,70.4,26.4,17.3,19.7,Fort Worth,8.3
"Fort Worth-Arlington, Texas†",82.8,63,70.4,26.4,17.3,19.7,Arlington,8.3
"Grand Island, Nebraska",81.2,53,66.7,23.8,21.3,21.1,,6.5
"Grand Rapids-Wyoming, Michigan",86,63.6,74.6,38.1,19.7,20,,6.5
"Great Falls, Montana",82.5,61.2,69.1,29.9,23.8,19.2,,11.5
"Greeley, Colorado",87,54.5,68.9,34.7,21.7,18.6,,8.3
"Greensboro-High Point, North Carolina",79.9,68,77.9,26.1,20,13.5,,10.4
"Greenville, South Carolina",84.4,63.4,78.4,30.4,21.7,13,,8.1
"Gulfport-Biloxi, Mississippi",77.3,58.6,73.7,25,28.7,15.8,,6.1
"Hagerstown-Martinsburg, Maryland-West Virginia",86.1,75.8,84.7,26.2,26,11.8,,5.9
"Hartford-West Hartford-East Hartford, Connecticut",86.5,71.4,81,32.6,18.2,18.4,,10.7
"Hastings, Nebraska",82.6,53.9,71.7,29.9,18.2,21.5,,6.6
"Havre, Montana",80.3,51.3,65.8,31.8,30.4,24.9,,9.1
"Heber, Utah",87.4,56.4,70.6,48.1,N/A§,12.8,,10.6
"Helena, Montana",83.7,53.7,74.5,39.7,23.3,20,,10.4
"Hickory-Morganton-Lenoir, North Carolina",75.3,74.2,77.2,25.6,22.8,11.6,,7.9
"Hilo, Hawaii",82.9,54.5,68.3,39.4,19.7,23.1,,10.9
"Hilton Head Island-Beaufort, South Carolina",89.1,64.1,77,41.3,14.4,14.1,,4.8
"Honolulu, Hawaii",85.7,61.6,75.9,36.3,16.3,21.5,,9.5
"Houma-Bayou Cane-Thibodaux, Louisiana",77.1,73.2,75.1,23.8,29.2,18.6,,7.2
"Houston-Sugar Land-Baytown, Texas",82.8,60.7,70.9,28.8,17.1,18.8,Houston,6.9
"Huntington-Ashland, West Virginia-Kentucky-Ohio",76.5,71.8,77.5,27.1,26.3,8,,12.9
"Idaho Falls, Idaho",82.8,54.2,69.5,36.3,9.6,7.5,,7.9
"Indianapolis-Carmel, Indiana",82.8,62.7,75.1,27.3,26.4,18.4,Indianapolis,9.2
"Jackson, Mississippi",77.6,68.6,73,23.4,25.6,15.2,,5.8
"Jacksonville, Florida",79.8,70.9,80.2,32.7,22.1,19.1,Jacksonville,9.9
"Kahului-Wailuku, Hawaii",85.5,56.2,72,42.9,15.1,21.9,,8.5
"Kalispell, Montana",83.4,57.9,71.8,38.9,16.9,19.5,,6.1
"Kansas City, Missouri-Kansas",84.4,66.6,77.8,28.7,22.8,19.2,Kansas City,9.4
"Kapaa, Hawaii",82.1,58.6,65.1,46.8,19.2,18.3,,8.7
"Kearney, Nebraska",87.5,54.2,65.8,30.4,18.4,21.3,,6.4
"Keene, New Hampshire",88,61.5,77.3,37.7,20.8,20.9,,7.3
"Kingsport-Bristol, Tennessee-Virginia",72,72.7,83.9,24.7,26.6,7.9,,7.8
"Knoxville, Tennessee",84.7,76.4,80,21.4,20.9,N/A§,,N/A§
"Lafayette, Louisiana",81.8,70.3,70.7,29.4,30.3,22.7,,4.4
"Lake Charles, Louisiana",77.3,75.7,76.5,25.9,25,14.1,,6.6
"Las Cruces, New Mexico",78.3,58.9,63.4,32.4,16.1,23.5,,8.5
"Las Vegas-Paradise, Nevada",80.7,61.8,71.3,31.8,22.5,18.6,Las Vegas,7.6
"Lawrence, Kansas",89.6,65.3,65.8,30.4,19.3,25.9,,12
"Lebanon, New Hampshire-Vermont",87.5,71.2,78,42,17.8,18.3,,10.8
"Lewiston, Idaho-Washington",74.9,63.8,72.4,32.7,22.6,18.1,,9.1
"Lewiston-Auburn, Maine",85,76.9,84.7,35.4,24.3,15.2,,12
"Lexington-Fayette, Kentucky",83.7,68.1,79.7,30.6,24.3,21.4,,8.6
"Lincoln, Nebraska",88.5,55.7,69.9,29,21.4,25.4,,8.7
"Little Rock-North Little Rock, Arkansas",77,62.8,75.6,27.4,27.2,17.6,,10.9
"Logan, Utah-Idaho",87.4,52.9,60.1,32.3,9.5,11.4,,8.5
"Los Angeles-Long Beach-Glendale, California†",78.6,66.5,76.4,32.1,12.8,17.5,Los Angeles,6.4
"Los Angeles-Long Beach-Glendale, California†",78.6,66.5,76.4,32.1,12.8,17.5,Long Beach,6.4
"Louisville, Kentucky-Indiana",82.4,66.8,75.5,28.9,27.3,19.4,Louisville,9.3
"Lubbock, Texas",85.7,65.4,68.2,30.5,17.5,18.8,,7.7
"Manchester-Nashua, New Hampshire",87.3,70.1,83.2,31.4,19,17.5,,11.5
"Manhattan, Kansas",91,65,62.1,27.4,21.9,23.4,,5.3
"Memphis, Tennessee-Mississippi-Arkansas",81.3,78.5,76.8,24.6,19.7,11.9,Memphis,7
"Miami-Fort Lauderdale-Miami Beach, Florida",79.3,69.7,81.2,29.9,15,13.6,Miami,5.8
"Midland, Texas",86.5,63.4,76.1,30.3,N/A§,32.5,,7.4
"Milwaukee-Waukesha-West Allis, Wisconsin",84.4,67.6,77.5,34.7,24.3,26.3,Milwaukee,10.3
"Minneapolis-St. Paul-Bloomington, Minnesota-Wisconsin",89,68,78.5,33.9,17.8,23,Minneapolis,7.5
"Minot, North Dakota",87.2,65.6,72.2,23,24.2,22.4,,9.4
"Missoula, Montana",87.1,53.1,59,37.2,23,26.9,,10.4
"Mobile, Alabama",77.9,70.1,73.6,24.2,27.9,19.3,,6.7
"Monroe, Louisiana",77.1,71,71.1,26.2,30.6,11.6,,6
"Montgomery, Alabama",76.9,71.8,78.6,22.2,23.8,17.3,,4
"Myrtle Beach-Conway-North Myrtle Beach, South Carolina",79.8,62.2,74.1,34.2,30.4,16.9,,8.4
"Nashville-Davidson-Murfreesboro, Tennessee",82.8,70.3,75.9,27,22.4,12.7,Nashville,7.1
"Nassau-Suffolk, New York",87.7,73.8,84.3,27.3,15.7,18.8,,7.6
"Newark-Union, New Jersey-Pennsylvania†",83.2,74.4,80,32.2,15.9,19.1,,8.2
"New Haven-Milford, Connecticut",82.5,72.3,81.2,30.1,17.9,17.4,,10.6
"New Orleans-Metairie-Kenner, Louisiana",77,73.6,77.1,25.5,24.2,17.6,,6.8
"New York-White Plains-Wayne, New York-New Jersey†",81.4,72.7,80.5,30.9,16.1,17.5,New York,9.2
"Norfolk, Nebraska",85.6,57.5,71,28,21.8,24.2,,6.1
"North Platte, Nebraska",81.6,56.5,69.8,32.3,25.1,19.9,,8.1
"Ocean City, New Jersey",84,77.5,80.2,39.3,24.1,17.6,,7.1
"Ogden-Clearfield, Utah",87.3,58.9,70.6,32.2,12,11,,9.8
"Oklahoma City, Oklahoma",82.3,56.3,68.2,25.3,25.2,18.9,Oklahoma City,11.3
"Olympia, Washington",81.7,61.2,67.4,33.4,18.3,12.3,,8.4
"Omaha-Council Bluffs, Nebraska-Iowa",86.4,61.1,74.2,28.4,21.4,24,Omaha,6.8
"Orangeburg, South Carolina",77.6,68.7,79.5,28.9,22.5,7.8,,10.2
"Orlando-Kissimmee, Florida",78.6,62.5,76.2,30.6,18.1,19.1,,7.3
"Peabody, Massachusetts",84.9,80.6,84.2,35.3,17.7,21.1,,10
"Philadelphia, Pennsylvania†",83.4,72.6,80.7,29.9,19.7,22.2,Philadelphia,9.6
"Phoenix-Mesa-Scottsdale, Arizona",83.5,60.5,74.5,32.8,18.3,18.7,Phoenix,8.8
"Phoenix-Mesa-Scottsdale, Arizona",83.5,60.5,74.5,32.8,18.3,18.7,Mesa,9
"Pierre, South Dakota",85.7,68.1,77,25.9,18.3,17.9,,9.1
"Pittsburgh, Pennsylvania",83.4,70.6,79.2,30.5,23.3,17.9,,11.2
"Portland-South Portland-Biddeford, Maine",87.4,70.8,81.9,38.6,19.4,21.2,,9.6
"Portland-Vancouver-Beaverton, Oregon-Washington",84.9,56.7,73.7,38.7,17,17.4,Portland,12
"Providence-New Bedford-Fall River, Rhode Island-Massachusetts",82.8,77.9,84.1,30.2,21.1,20.8,,8.8
"Provo-Orem, Utah",87.6,51,59.8,32.7,8.4,8.3,,6.3
"Raleigh-Cary, North Carolina",87.9,74,83.2,30.1,16.3,18.6,Raleigh,8.6
"Rapid City, South Dakota",81,58.4,72.5,32.6,22.9,18,,8.7
"Reno-Sparks, Nevada",79.8,60.3,72.3,40.3,22.9,19.2,,8.9
"Richmond, Virginia",83.5,75.1,82.3,31.8,22.2,17.8,,9.5
"Riverside-San Bernardino-Ontario, California",80.7,62.2,74.7,37.3,16.2,17.4,,9.3
"Riverton, Wyoming",82,49.7,68.4,33.6,24.7,20.1,,10.4
"Rockingham County-Strafford County, New Hampshire†",86,73.4,81.3,34,18.8,21.2,,12.3
"Rockland, Maine",82.6,70.7,80,33.2,16.9,12.4,,10
"Rutland, Vermont",86.1,68.6,78.2,37.5,19.3,14.8,,11.5
"Sacramento-Arden-Arcade-Roseville, California",86.3,60.2,76.5,40.2,13.5,20,Sacramento,8.8
"St. Louis, Missouri-Illinois",84.5,69.9,75.6,31.3,24.2,22.9,,8.9
"Salem, Oregon",80.5,51.6,69.7,38.2,19.9,16.9,,8.6
"Salt Lake City, Utah",86.5,55.6,68.3,33.9,13.7,15.2,,8
"San Antonio, Texas",81.2,60.8,73.8,29.6,18.1,21.7,San Antonio,7.3
"San Diego-Carlsbad-San Marcos, California",84,62.2,77.7,37.4,13.3,19,San Diego,9
"San Francisco-Oakland-Fremont, California†",85.3,64.3,79.1,38.6,11.7,20.8,San Francisco,8.6
"San Francisco-Oakland-Fremont, California†",85.3,64.3,79.1,38.6,11.7,20.8,Oakland,8.6
