favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
2,Twitter Web Client,Critic's Notebook: The Sour Notes of Iran’s Art Diplomacy http://nyti.ms/apQDhR,,False,Thu Feb 04 01:24:25 +0000 2010,9,8612496420
5,Twitter Web Client,Malaysia in an Uproar Over Use of the Word ‘Allah’ http://bit.ly/7J6s0g,,False,Sun Jan 10 14:36:25 +0000 2010,23,7594051943
2,Twitter Web Client,Schumer Urges Ford Not to Run http://bit.ly/6Qof5g,,False,Fri Jan 08 03:12:37 +0000 2010,6,7503853972
2,Twitter Web Client,NYT is collecting photos of people missing in Haiti. Submit a picture: http://bit.ly/4WewR3. View gallery: http://bit.ly/8zTRup,,False,Fri Jan 15 12:53:35 +0000 2010,59,7786356410
3,Twitter Web Client,What About George? http://bit.ly/8tr0yP,,False,Sun Jan 10 18:09:01 +0000 2010,13,7599594407
0,Twitter Web Client,Democrats Fight to Hold Crucial Seat: Kennedy’s http://bit.ly/6SJf3M,,False,Thu Jan 14 02:43:26 +0000 2010,4,7732812450
3,Twitter Web Client,Haiti to Ask for $3 Billion at Donors Conference http://bit.ly/7ka72y,,False,Mon Jan 25 18:09:17 +0000 2010,21,8201060530
8,Twitter Web Client,"Health Reform in Limbo, Top Drug Lobbyist Quits http://nyti.ms/aZII1c",,False,Fri Feb 12 04:32:29 +0000 2010,10,8994421375
2,Twitter Web Client,Sirens Sound on Hawaiian Coasts http://nyti.ms/arm9TL,,False,Sat Feb 27 16:40:41 +0000 2010,110,9735828920
5,Twitter Web Client,Mexico Announces Capture of Drug Lord http://bit.ly/67Q1mV,,False,Sun Jan 03 03:54:42 +0000 2010,41,7320593998
4,Twitter Web Client,"NYT NEWS ALERT: Economy Lost 20,000 Jobs in January; Jobless Rate Falls to 9.7%",,False,Fri Feb 05 13:32:01 +0000 2010,30,8676931332
6,Twitter Web Client,Citigroup Reports a $1.6 Billion Loss for Year http://bit.ly/6NrXSu,,False,Tue Jan 19 13:40:03 +0000 2010,17,7945472482
10,Twitter Web Client,Quake update: Here's a collection of photos from news agencies covering the #quake in #Chile. http://nyti.ms/crR5PO,,False,Sat Feb 27 16:19:47 +0000 2010,129,9734992685
3,Twitter Web Client,Prius Adds to Toyota’s Woes as Stock Drops in Tokyo http://nyti.ms/bH8gqq,,False,Thu Feb 04 07:56:29 +0000 2010,12,8624131282
2,Twitter Web Client,NYT NEWS ALERT: Toyota Says It Will Send Dealers the Parts to Fix Defective Pedals,,False,Mon Feb 01 11:40:02 +0000 2010,13,8495239563
6,Twitter Web Client,Tell us your favorite Super Bowl commercial  so far.  Use #nytsb. (Blogging the Commercials - http://nyti.ms/ac6YJg #sb44),,False,Mon Feb 08 00:46:54 +0000 2010,21,8787417339
12,Twitter Web Client,South Korea Confronts Open Secret of Abortion http://bit.ly/6qmXY9,,False,Tue Jan 05 22:36:26 +0000 2010,7,7417966460
5,Twitter Web Client,An Astor Juror Says Her Fear Dictated Vote http://nyti.ms/a6hUlc,,False,Mon Feb 22 05:08:48 +0000 2010,8,9462998723
2,Twitter Web Client,"Alexander Haig, Ex-Secretary of State, Dies at 85 http://nyti.ms/bKrFNv",,False,Sat Feb 20 14:35:16 +0000 2010,26,9385121923
7,Twitter Web Client,NYT NEWS ALERT: 8.3-Magnitude Earthquake Hits Southern Chile,,False,Sat Feb 27 07:12:03 +0000 2010,170,9719452505
