favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
246,SocialFlow,"In a violent dorm of this prison, inmates put up a sign: ""No Officers Beyond This Point."" 
Officers tended to obey.
https://t.co/xHeUsZxD5Y",,False,Wed Mar 29 05:50:06 +0000 2017,173,846962652891021313
1019,SocialFlow,"When April Ryan got to her tiny office after the run-in with Sean Spicer, the phone started to ring https://t.co/RWaLcZ04GG",,False,Sat Apr 01 20:44:04 +0000 2017,412,848274789701750784
195,SocialFlow,"Keith Palmer was a father and husband, with 15 years of service in London's Metropolitan Police https://t.co/OfHsHLbFiR",,False,Thu Mar 23 08:11:04 +0000 2017,104,844823798138322944
270,SocialFlow,All you need is 20 minutes to get from pan to table https://t.co/Rf9c2r5hBD https://t.co/KHihh2KyeB,,False,Thu Mar 30 19:20:11 +0000 2017,67,847528903732318208
817,SocialFlow,Opinion: The research on the benefits of diversity doesn't bode well for our mostly white administration https://t.co/Gr7HQrV9Sd,,False,Sun Mar 05 18:43:05 +0000 2017,468,838459867950170112
321,SocialFlow,Because it's never too early to start planning for brunch https://t.co/8uNnqli23Y https://t.co/075QcVCyFx,,False,Fri Mar 03 21:04:06 +0000 2017,69,837770582288699392
353,SocialFlow,"BP is struggling to control a damaged oil well, which is spewing natural gas vapors, in the Alaskan Arctic https://t.co/Py51X1ieu7",,False,Sun Apr 16 19:33:06 +0000 2017,719,853692749190713349
201,SocialFlow,"Florida 84, Wisconsin 83 | Overtime: Chris Chiozza’s Buzzer-Beater Sends Florida Past Wisconsin in Overtime https://t.co/jTzvhhoWMZ",,False,Sat Mar 25 06:11:25 +0000 2017,73,845518464269914113
187,SocialFlow,"Their student debt was forgiven. Until it wasn’t.
https://t.co/jTCEMzZFiy",,False,Fri Mar 31 13:01:05 +0000 2017,229,847795887287959553
432,SocialFlow,Getting a visa to visit the U.S. can be long and exhaustive. Here’s a look at the typical process. https://t.co/H7OjUHETUR,,False,Sat Mar 18 11:14:03 +0000 2017,410,843057911177924608
1928,SocialFlow,"Opinion: ""This is not a debatable issue. This is not fake news. This is not a witch hunt. This happened."" https://t.co/ZL8mrNg6Gn",,False,Wed Apr 05 05:43:58 +0000 2017,1080,849497824693714945
336,SocialFlow,"The Republicans in power: From ""we got this"" to ""what now?"" https://t.co/pX8vgBgKx9",,False,Tue Mar 28 06:12:31 +0000 2017,152,846605904623603713
190,SocialFlow,She thought buying a robot cat for her 90-year-old mom in a nursing home would be a great idea. It wasn't. https://t.co/FlxAqBXPTM,,False,Mon Apr 03 02:37:32 +0000 2017,93,848726128818827264
164,SocialFlow,"At 24, she was told she probably had hemorrhoids. 10 years later, she learned she had advanced colon cancer.… https://t.co/q8hPTNSXyc",,False,Fri Mar 17 08:49:07 +0000 2017,99,842659048344489984
174,SocialFlow,"The NYT review for ""Kong: Skull Island"" https://t.co/1USgDB6hgc",,False,Thu Mar 09 20:59:05 +0000 2017,54,839943645813948416
95,SocialFlow,Look to the sky: Snapchat's parent has done some work on a drone https://t.co/dRDbmMn0Vn,,False,Wed Mar 01 20:18:04 +0000 2017,39,837034220602159105
81,SocialFlow,Protecting top government officials involves a patchwork of more than a dozen federal agencies and offices https://t.co/DrLTHWWCcT,,False,Wed Apr 12 13:41:06 +0000 2017,51,852154613100945408
412,SocialFlow,"The tree trunks in this forest are all unusually crooked, and no one knows why. See for yourself, in 360°.… https://t.co/mQrJiD7dY6",,False,Fri Mar 31 13:25:05 +0000 2017,174,847801928331513858
203,SocialFlow,"Marine Le Pen vowed to clamp down, expel, stamp out and restrict immigration, and to make France more French https://t.co/s4BBPM6Inb",,False,Thu Apr 20 13:33:06 +0000 2017,152,855051702273269761
112,SocialFlow,A father in Thailand killed his 11-month-old daughter live on Facebook https://t.co/O29d1DwYlI https://t.co/zb01jlR0xp,,False,Wed Apr 26 09:07:04 +0000 2017,162,857159079466291200
350,SocialFlow,"""Improvised music can represent a metaphor for a more perfect American union."" https://t.co/sNj1bwIcLM https://t.co/u8ySJdsXWJ",,False,Tue Mar 14 03:32:01 +0000 2017,161,841492083890352128
145,TweetDeck,How to help those with Zika https://t.co/PtvyIl73XF,nytimes,False,Sat Mar 11 15:36:39 +0000 2017,85,840587280335134725
440,SocialFlow,"President Trump, who takes intense pride in his ability to cut deals, finds himself in a humbling negotiation https://t.co/BEWjC9ofRT",,False,Fri Mar 24 13:20:10 +0000 2017,169,845263973733847041
238,SocialFlow,Opinion: The increasing significance of the decline of men https://t.co/bNPkFfd5Yb https://t.co/FrPZQTzXVi,,False,Thu Mar 16 15:50:08 +0000 2017,105,842402613614252032
279,SocialFlow,What Trump's tax proposal will cost https://t.co/uNqcSeKSeQ https://t.co/mfWuwcBqYs,,False,Thu Apr 27 10:41:07 +0000 2017,349,857545134321389568
309,SocialFlow,"He sued 23 Dunkin’ Donuts locations for serving ""margarine or a butter substitute"" instead of butter with his bagels https://t.co/qYLzwjVUR5",,False,Tue Apr 04 18:28:02 +0000 2017,138,849327718579802114
680,SocialFlow,"The U.S. has museums devoted to spies, to roller skating and to Bigfoot. Now there will be one for women, too. https://t.co/ivQvxusnXO",,False,Sun Mar 19 22:50:03 +0000 2017,293,843595450678726656
172,TweetDeck,"Breaking News: Hosni Mubarak, the former Egyptian president who was ousted in 2011, is free https://t.co/acPC5ibexr",,False,Fri Mar 24 10:38:29 +0000 2017,324,845223287789637632
369,SocialFlow,This recipe is proof-positive that leftover bread can easily be converted to dessert https://t.co/V8VAGppZ2f https://t.co/2s8S53LpQy,,False,Wed Mar 22 18:53:07 +0000 2017,83,844622986942517254
90,SocialFlow,"The rise, then shame, of Baylor Nation https://t.co/OdkobPXnKA https://t.co/OSOppv4j67",,False,Thu Mar 09 19:10:07 +0000 2017,56,839916223412506624
421,SocialFlow,A Jewish photographer recorded the devastating realities of life in a ghetto in Nazi-occupied Poland https://t.co/fx5VaHbdHY,,False,Mon Mar 20 21:10:05 +0000 2017,302,843932681687785473
1466,SocialFlow,"Revised GOP health care bill would cost more than the original bill but leave just as many uninsured, CBO said https://t.co/0mq0rTFAwD",,False,Fri Mar 24 03:32:03 +0000 2017,1975,845115968846127105
224,SocialFlow,"The 1994 genocide tore Rwanda apart. But today, in the village of Mbyo, perpetrators and victims live side by side. https://t.co/fsHwEzZY07",,False,Tue Apr 25 14:21:05 +0000 2017,133,856875715488362498
412,SocialFlow,"Go for a walk in Grand Teton National Park, which reported a record 4.8 million visitors last year… https://t.co/hnhDMtJ203",,False,Sun Apr 16 17:33:03 +0000 2017,90,853662535622459394
857,SocialFlow,"""Being the US Attorney in SDNY will forever be the greatest honor of my professional life,”  Bharara tweeted https://t.co/gcN1tKGezW",,False,Sat Mar 11 19:55:31 +0000 2017,418,840652426503979008
991,SocialFlow,"North Korea threatened to attack U.S. military bases in South Korea, warning it could destroy them ""within minutes"" https://t.co/UYDaEZxIWk",,False,Fri Apr 14 15:18:04 +0000 2017,2412,852903788944007168
116,SocialFlow,"""Groundhog Day"" will open on Broadway as scheduled on Monday, even after the show's star, Andy Karl, was injured https://t.co/bLKtfvmtkU",,False,Mon Apr 17 18:57:07 +0000 2017,46,854046078429274112
109,SocialFlow,"A New Jersey Transit train derailed at Penn Station, the second derailment in 2 weeks https://t.co/GdFyxCQoI7 https://t.co/JAay9j3hjp",,False,Mon Apr 03 15:59:06 +0000 2017,111,848927850375852032
76,SocialFlow,A Trump Tower neighbor considers himself a bridge between President Trump and far-right ideological allies in Europe https://t.co/SugFk3v2Ft,,False,Fri Apr 14 20:44:06 +0000 2017,80,852985837629452288
99,SocialFlow,Le Pen’s Inner Circle Fuels Doubt About Bid to ‘Un-Demonize’ Her Party https://t.co/Pc2y9hl3ls,,False,Fri Apr 14 04:08:45 +0000 2017,75,852735352037007360
162,SocialFlow,Join @maggieNYT @alexburnsNYT @Nate_Cohn and @jonathanweisman for live analysis of Georgia’s election https://t.co/Cu0D5H4FF8,,False,Wed Apr 19 00:21:05 +0000 2017,68,854489996434309125
227,SocialFlow,"Breaking News: At least 3 people were killed and 20 injured in the UK attack, officials said https://t.co/iEKJy2MUfK",,False,Wed Mar 22 18:38:40 +0000 2017,300,844619353555374080
107,SocialFlow,How House Republicans are planning to vote on the Affordable Care Act replacement https://t.co/05BkEgQXOC,,False,Thu Mar 23 08:18:05 +0000 2017,93,844825566389821440
281,SocialFlow,President Trump is expected to sign an executive order Tuesday reversing Obama climate rules https://t.co/gVGEDvyqLp,,False,Tue Mar 28 10:46:04 +0000 2017,373,846674747480002565
4551,SocialFlow,"Mercedes-Benz has pulled its ads from ""The O'Reilly Factor"" on Fox News https://t.co/w1PccYRwfi",,False,Tue Apr 04 01:36:57 +0000 2017,1249,849073271299612673
100,SocialFlow,The prominent hedge fund Eton Park is shutting down. It’s the first big closing after a rough 2016 for hedge funds. https://t.co/uK18zbPcwi,,False,Thu Mar 23 18:20:05 +0000 2017,48,844977064751042561
72,SocialFlow,Read Fox's statement on Bill O’Reilly’s departure https://t.co/zE8jrrCZGu,,False,Thu Apr 20 08:53:03 +0000 2017,54,854981223843852289
525,SocialFlow,Medicaid started out as a small program to cover poor people's medical bills. Now it covers 1 in 5 Americans. https://t.co/1jUX34Xk8q,,False,Sun Apr 02 18:17:02 +0000 2017,341,848600173282566147
2263,SocialFlow,Bill O'Reilly's ouster brings an embarrassing end to a 2-decade reign as one of the most popular commentators in TV https://t.co/bRbGqWJKJz,,False,Wed Apr 19 18:42:26 +0000 2017,1095,854767161163870208
167,SocialFlow,Our best guidance for filing your tax return https://t.co/clm5rkZbXr,,False,Sun Apr 02 19:28:03 +0000 2017,58,848618044670840833
204,SocialFlow,"What Republicans will keep, change or discard with the Affordable Care Act https://t.co/em7NaoWYAA",,False,Tue Mar 07 12:38:06 +0000 2017,270,839092792769019905
2818,SocialFlow,The Times identified 5 women who received about $13 million in payouts from Bill O’Reilly or Fox News https://t.co/S3UBRDfKMN,,False,Sat Apr 01 19:26:04 +0000 2017,2327,848255157980868612
327,SocialFlow,"From ""The Grinder"" to ""Freaks and Geeks,"" here are some of our favorite one-season wonders to binge https://t.co/QKwtZMftvq",,False,Mon Apr 24 04:06:47 +0000 2017,60,856358734246948864
3727,SocialFlow,"Opinion: ""The con Donald Trump committed on his voters is slowly coming undone"" https://t.co/PPb8u3dXJk",,False,Fri Mar 17 21:41:44 +0000 2017,2043,842853482298261506
783,SocialFlow,They aren't planning to sneak into Canada. They're planning to walk right into the arms of the Canadian authorities… https://t.co/VMuJrumy2Q,,False,Wed Mar 08 03:46:06 +0000 2017,365,839321302297165824
645,SocialFlow,As a girl she spent time in the library. Now she's giving it $20 million. https://t.co/Z1kh0YWbx0 https://t.co/gNLiBNB4E2,,False,Fri Mar 10 14:00:23 +0000 2017,194,840200663611133952
358,SocialFlow,Trump’s threats against the Freedom Caucus cause few shivers of fear https://t.co/Xy0rf6Mbdt,,False,Thu Mar 30 23:31:04 +0000 2017,182,847592038505861120
1756,SocialFlow,"Opinion: No wonder the Republicans hid the health bill
https://t.co/sddqQiDpf5",,False,Wed Mar 08 04:31:04 +0000 2017,885,839332617610801154
185,SocialFlow,Vladimir Putin met with Rex Tillerson after leaving him dangling for much of the day https://t.co/8GhpAPrcfa,,False,Thu Apr 13 13:11:07 +0000 2017,118,852509453052256257
1002,SocialFlow,These photos of young Bob Dylan were kept unseen in a file drawer for over 30 years https://t.co/VfAuyMGThV https://t.co/vaPcvhkAW6,,False,Tue Apr 18 04:04:57 +0000 2017,375,854183947206627330
835,SocialFlow,"Ivanka Trump said the U.S. might need to admit more Syrian refugees, setting off a minor scramble in the West Wing https://t.co/42ZQP4RL4U",,False,Thu Apr 27 11:10:11 +0000 2017,450,857552451528007681
779,SocialFlow,"King Salman of Saudi Arabia traveled to Asia with 1,500 people, 6 Boeing jets, 2 limousines and 2 electric elevators https://t.co/MQvae2hlnM",,False,Fri Mar 03 06:16:04 +0000 2017,719,837547102074896384
1094,SocialFlow,"Running may be the single most effective exercise to increase life expectancy, according to a new review https://t.co/2b82N3mLVB",,False,Fri Apr 14 08:13:23 +0000 2017,642,852796914751774720
282,SocialFlow,Fake news reports and a barrage of hacking attacks have France worried about Russian meddling in its election: https://t.co/T4CIwWqLvG,,False,Tue Apr 18 09:05:04 +0000 2017,328,854259473870987264
99,SocialFlow,A 27-year-old man carrying knives was arrested Thursday afternoon near Parliament in London https://t.co/hOrjViW1ki,,False,Fri Apr 28 10:40:09 +0000 2017,78,857907282344017921
276,SocialFlow,ISIS claimed responsibility for the shootout on the Champs-Élysées in Paris which left one police officer dead https://t.co/54D6badof1,,False,Fri Apr 21 11:47:04 +0000 2017,263,855387407214096388
302,SocialFlow,"The meeting began ominously. ""So, I’ve heard you’ve been breaking some of our rules,"" Apple's CEO told Uber's CEO https://t.co/sTolUEZA5V",,False,Mon Apr 24 03:00:12 +0000 2017,160,856341977092194305
178,SocialFlow,U.S. accuses Russian email spammer of vast network of fraud https://t.co/DUMHpV2Lkr,,False,Tue Apr 11 12:52:05 +0000 2017,148,851779889376223233
1451,SocialFlow,"Opinion: Don’t be fooled, President Trump’s new Muslim ban is still illegal https://t.co/MqL3u7VByo",,False,Tue Mar 07 11:11:02 +0000 2017,867,839070884694487040
6468,SocialFlow,"Opinion: Trump is getting a ""reputation as a sucker. And worse, a sucker who is a tool of the D.C. establishment."" https://t.co/yMlt6X6cWX",,False,Sun Mar 26 14:46:07 +0000 2017,3228,846010381629820928
217,SocialFlow,The suspect in the attack near the British Parliament died after being shot by the police https://t.co/zgL6SNzfpK,,False,Wed Mar 22 18:39:35 +0000 2017,221,844619584950992900
285,SocialFlow,"Opinion: After a lifetime of stomach problems, Josiah Zayner declared war on his own body’s microbes https://t.co/qFailHPFH4",,False,Wed Apr 12 04:01:09 +0000 2017,91,852008661580894208
283,SocialFlow,President Trump is expected to sign an executive order Tuesday reversing Obama climate rules https://t.co/gY2EWD4bp7,,False,Tue Mar 28 04:16:02 +0000 2017,480,846576590935015424
66,SocialFlow,7-Eleven's parent will buy Sunoco's convenience stores https://t.co/YoEnMMeBed https://t.co/671TywQ5IK,,False,Thu Apr 06 12:57:07 +0000 2017,58,849969217873096704
620,SocialFlow,Republicans vented openly about the lack of evidence behind Trump's wiretap claims https://t.co/T4AxRo7fR4,,False,Thu Mar 16 17:20:06 +0000 2017,255,842425252768583680
329,SocialFlow,"Now missing: The Big Maple Leaf, a 221-pound gold coin worth $4.5 million https://t.co/5fjWDEWpwa",,False,Mon Mar 27 16:57:04 +0000 2017,262,846405722703323136
828,SocialFlow,President Trump’s tax plan would shift trillions from federal coffers to America’s richest families and their heirs https://t.co/EP8tdLsq7E,,False,Fri Apr 28 18:18:13 +0000 2017,1182,858022558892949506
