favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
12,The New York Times,U.S. Warns Top Iran Leader Not to Shut Strait of Hormuz http://t.co/mZqOpipp,,False,Fri Jan 13 03:36:06 +0000 2012,66,157667208678473728
31,The New York Times,Washington State Senate Passes Gay Marriage Bill http://t.co/c0dKhtqG,,False,Thu Feb 02 05:26:34 +0000 2012,376,164942766491705344
1,The New York Times,"TIMESCAST: TimesCast | January 20, 2012 http://t.co/d7BQqK1Q",,False,Fri Jan 20 18:09:51 +0000 2012,2,160423810217156608
2,The New York Times,Rockets Fired on Pakistan Military Academy Near Bin Laden Hideout http://t.co/rQMb4DeW,,False,Fri Jan 27 10:39:05 +0000 2012,30,162847084884664320
9,The New York Times,"Neighborhood Joint | Midtown: At Lee’s Art Shop, Fantasies in Living Color http://t.co/yqrxHbow",,False,Fri Jan 27 01:26:49 +0000 2012,12,162708103383621632
11,The New York Times,Mathias Kiwanuka’s Heart Belongs to Uganda http://t.co/BVlQa85p,,False,Mon Jan 30 08:53:50 +0000 2012,43,163907761292312577
20,The New York Times,Books of The Times: William Gibson’s ‘Distrust That Particular Flavor’ - Review http://t.co/bIqI8HIJ,,False,Mon Jan 02 09:59:26 +0000 2012,17,153777410804944897
3,The New York Times,3rd Worker Indicted in Wake of 2010 Mine Disaster http://t.co/zPY4kzmc,,False,Wed Feb 22 15:42:30 +0000 2012,10,172345529286664193
15,The New York Times,Oil Price Would Skyrocket if Iran Closed the Strait of Hormuz http://t.co/HxuWHkL6,,False,Thu Jan 05 02:54:52 +0000 2012,110,154757729968332800
35,The New York Times,Genome Research Points to Adaptation Among Early African-Americans http://t.co/Yg72W5Yd,,False,Mon Jan 02 18:08:44 +0000 2012,66,153900546762342401
3,The New York Times,Russia Plans to Retry Dead Lawyer Sergei L. Magnitsky in Tax Case http://t.co/C5DP2VAR,,False,Wed Feb 08 07:56:38 +0000 2012,21,167154859596980224
3,The New York Times,"For Giants, Memories of a Bad Trip That Wouldn’t End http://t.co/ueFL2v0d",,False,Thu Jan 12 01:57:14 +0000 2012,13,157279939350102018
11,The New York Times,New York Suing 3 Banks Over Mortgage Database http://t.co/uY0eJbGC,,False,Fri Feb 03 17:43:56 +0000 2012,72,165490719828606979
5,The New York Times,City Room: Blaze Kills Boy in Brooklyn http://t.co/LXBUo4gx,,False,Sun Jan 15 19:09:19 +0000 2012,13,158626837256347649
1,The New York Times,Brian Grazer and Don Mischer Keep Quiet About Oscar Plans http://t.co/LStx8P9M,,False,Tue Feb 14 18:33:38 +0000 2012,4,169489491097161728
6,The New York Times,Emlen Tunnell: The Giants’ Greatest Packer http://t.co/Qei20tT3,,False,Sun Jan 15 15:33:20 +0000 2012,14,158572480196386816
8,The New York Times,Puerto Rico Traces Decline in Prospects to Inclusion in the Baseball Draft http://t.co/xF6EF6t5,,False,Mon Jan 16 18:49:10 +0000 2012,40,158984152111255552
5,The New York Times,Obama Issues Waivers on Military Trials for Foreign Qaeda Suspects http://t.co/8dvknw1Q,,False,Wed Feb 29 00:10:22 +0000 2012,16,174647665202696192
6,The New York Times,Syrian Troops Try to Retake Damascus Suburbs http://t.co/tPkjjwq7,,False,Sun Jan 29 20:26:17 +0000 2012,45,163719634778984448
3,The New York Times,"TIMESCAST: TimesCast | January 23, 2012 http://t.co/1UdkfBu2",,False,Mon Jan 23 18:18:30 +0000 2012,14,161513148640280577
2,Tweetie for Mac,We're live-blogging the #NBCFBDebate here: http://t.co/JtUDoaSF Follow @thecaucus for live updates.,,False,Sun Jan 08 13:49:12 +0000 2012,19,156009559792697345
2,The New York Times,City Kitchen: A Bicoastal Approach to Crab Salad — City Kitchen http://t.co/jVSz17z5,,False,Fri Jan 20 20:02:38 +0000 2012,9,160452193936351232
43,Twitter Web Client,"Introducing The Lively Morgue, our new Tumblr blog showcasing photographs from the @nytimes archives: http://t.co/Si2x5mKy",,False,Tue Feb 28 14:12:31 +0000 2012,117,174497209365172224
14,The New York Times,"Neighborhood Joint | Astoria: At the Egyptian Coffee Shop, Hookah Smoke and Mideast News http://t.co/a0zCDGbp",,False,Fri Feb 10 03:50:46 +0000 2012,28,167817758967476224
68,The New York Times,"Barnes & Noble, Taking On Amazon in the Fight of Its Life http://t.co/3EZXPLrk",,False,Sun Jan 29 04:58:51 +0000 2012,233,163486238244995073
8,The New York Times,"U.K. and Future in Mind, E.U. Plans for Less Unanimity http://t.co/RiVjHN6Z",,False,Sun Jan 01 18:18:14 +0000 2012,25,153540550769905665
16,The New York Times,"Few Cities Have Regained Lost Jobs, Report Finds http://t.co/0LxMfAdy",,False,Wed Jan 18 05:39:07 +0000 2012,67,159510104763404288
9,The New York Times,News Analysis: Karzai’s Ultimatum on Afghan Prison Complicates U.S. Exit Strategy http://t.co/CNCbaefF,,False,Mon Jan 09 02:32:03 +0000 2012,39,156201536857448450
8,The New York Times,Bribery Case Against Berlusconi Is Thrown Out http://t.co/62Tlhb5q,,False,Sat Feb 25 14:45:24 +0000 2012,33,173418323730636800
6,The New York Times,Critic’s Notebook: TV Kisses Lose Impact They Had in Sammy Davis Jr.’s Day http://t.co/9aFU8T0F,,False,Sat Feb 11 02:17:16 +0000 2012,20,168156617127362560
11,The New York Times,Developers Eye Garages and Parking Lots http://t.co/Io8SoMqz,,False,Sat Feb 04 15:18:57 +0000 2012,24,165816618570612738
10,The New York Times,Marie Colvin’s Mother Recalls Her Determination to Get the Story http://t.co/O8h4od1A,,False,Thu Feb 23 10:24:10 +0000 2012,39,172627804033265664
8,The New York Times,Conn. Mayor Blasted for 'Taco' Quip About Latinos http://t.co/D4UfWc9A,,False,Wed Jan 25 19:28:08 +0000 2012,42,162255451055071232
3,The New York Times,Romney Is the Main Target in a Caustic G.O.P. Debate http://t.co/hdPiKYTP,,False,Sun Jan 08 16:49:36 +0000 2012,22,156054959174070273
10,The New York Times,"Knicks 99, Nets 92: Lin Leads Knicks Over Nets http://t.co/UHnKSFUr",,False,Sun Feb 05 03:48:31 +0000 2012,41,166005254029197312
9,The New York Times,Obama Mortgage Plan Would Broaden Government-Backed Loans http://t.co/6FilvkD8,,False,Wed Jan 25 12:57:50 +0000 2012,39,162157229204709376
5,The New York Times,Media Decoder Blog: Univision and Disney In Talks For An English-Language News Channel http://t.co/jxxgY4tt,,False,Tue Feb 07 01:34:25 +0000 2012,46,166696281656393728
6,The New York Times,Japan's PM Reshuffles Cabinet to Win Tax Support http://t.co/tRp5ZGWe,,False,Fri Jan 13 01:54:24 +0000 2012,25,157641616692219904
3,The New York Times,Pakistan Court Resurrects Election Tampering Investigation http://t.co/FW0byWdV,,False,Wed Feb 29 11:33:19 +0000 2012,13,174819532186206208
3,The New York Times,Trade Protest Is Planned on Eve of a Chinese Leader’s Visit http://t.co/GY6qnr6r,,False,Tue Jan 31 02:35:30 +0000 2012,13,164174938083827712
14,The New York Times,Justices to Hear Case on Affirmative Action in Higher Education http://t.co/8Wx6qe66,,False,Tue Feb 21 15:51:04 +0000 2012,75,171985296911642624
1,The New York Times,The Caucus: Gingrich Insurgency Tests Party's Old Guard http://t.co/VfNim5uM,,False,Fri Jan 27 00:30:34 +0000 2012,10,162693949549576193
21,The New York Times,Bill Belichick and Tom Brady Are a Winning Combination http://t.co/AV33dVYH,,False,Sun Feb 05 08:00:22 +0000 2012,72,166068633871724545
3,The New York Times,Work as Usual for U.S.S. John C. Stennis After Warning by Iran http://t.co/96paAitx,,False,Thu Jan 05 03:08:36 +0000 2012,28,154761183453388800
21,The New York Times,Tintin Is a New Breed of Comic-Book Hero for Most Americans http://t.co/seeCnzrD,,False,Mon Jan 02 20:22:53 +0000 2012,103,153934305712803840
8,The New York Times,Both Sides Eager to Take Contraception Mandate Debate to Voters http://t.co/mhDF0FZY,,False,Thu Feb 16 09:46:52 +0000 2012,22,170081702264311808
15,The New York Times,"Radical Muslim Americans Pose Little Threat, Study Says http://t.co/a1eNHxnh",,False,Wed Feb 08 02:00:00 +0000 2012,72,167065108701380608
6,The New York Times,Arab League Suspends Its Monitoring in Syria http://t.co/HW1WhC1N,,False,Sat Jan 28 17:40:50 +0000 2012,36,163315611080994816
4,TweetDeck,"Notable NYT #Oscars ballots include Jeffrey Eugenides, @nickjonas & @tabathacoffey. Browse and compete: http://t.co/h7fpGspa",,False,Mon Feb 13 23:06:02 +0000 2012,16,169195655842115585
4,The New York Times,The Caucus: Giffords's Aide to Run for Seat in Special Election http://t.co/bTEDr43r,,False,Thu Feb 09 19:49:33 +0000 2012,26,167696659101388801
9,The New York Times,Apple Suspends iPhone 4S Sales in Mainland China Stores http://t.co/YgIf3O4c,,False,Fri Jan 13 10:16:43 +0000 2012,153,157768028606570496
6,The New York Times,"Critic’s Notebook: At Sony, Portable Games Just Got Bigger http://t.co/Bc7rfKSr",,False,Wed Feb 29 11:19:25 +0000 2012,13,174816034396717057
4,The New York Times,"Guilty Plea by Richard Lipsky, Lobbyist, Is Expected in Bribery Case http://t.co/nZBX9ZOg",,False,Tue Jan 03 19:46:14 +0000 2012,22,154287473810354176
12,The New York Times,Volkswagen Reports Record Profit http://t.co/jQB5R1Hh,,False,Fri Feb 24 12:03:44 +0000 2012,63,173015250851991552
20,The New York Times,Pogue’s Posts: Apple's Mountain Lion Makes the Mac More Like the iPad http://t.co/hwDLaotk,,False,Thu Feb 16 18:51:48 +0000 2012,72,170218838628106241
6,The New York Times,"Books of The Times: ‘The Real Romney,’ by Michael Kranish and Scott Helman — Review http://t.co/b9RtzQaR",,False,Mon Jan 16 20:26:53 +0000 2012,26,159008745203052544
29,The New York Times,Cultural Studies: Open Marriage’s New 15 Minutes http://t.co/yjbUKaSC,,False,Sun Feb 05 11:35:22 +0000 2012,30,166122739017584640
7,The New York Times,The Bay Citizen: Children Are Often Victims as Shootings Soar in Oakland http://t.co/oIBzVVZ3,,False,Sun Jan 08 01:30:14 +0000 2012,40,155823593085865984
28,The New York Times,"Supply of Methotrexate, a Cancer Drug, May Run Out Soon http://t.co/QL2Kc8Xa",,False,Sat Feb 11 06:10:03 +0000 2012,106,168215198455443456
10,The New York Times,Wheels: Detroit Auto Show: 2013 Mercedes-Benz SL550 http://t.co/aoqP7AuJ,,False,Mon Jan 09 21:28:26 +0000 2012,40,156487516961255425
3,The New York Times,United States Planning to Slash Iraq Embassy Staff by Half http://t.co/U88UAXHO,,False,Tue Feb 07 16:39:32 +0000 2012,32,166924064462618624
2,The New York Times,Campaign Appeals to Inundate South Carolina Voters http://t.co/KcVrKalL,,False,Wed Jan 11 14:38:33 +0000 2012,5,157109145680617472
8,The New York Times,Raymond Kelly Voices Concern on Fatal Police Shooting in Bronx http://t.co/ICUzQtEP,,False,Sat Feb 04 00:54:09 +0000 2012,18,165598986227564545
6,The New York Times,Russia Signals Aversion to Tightened Iran Sanctions http://t.co/uCkdJz3e,,False,Wed Jan 18 10:50:53 +0000 2012,44,159588563212705792
2,The New York Times,Richard Cordray Named Consumer Chief in Recess Appointment http://t.co/VHww7uHg,,False,Wed Jan 04 19:42:56 +0000 2012,26,154649027869294592
4,The New York Times,Shiite Muslims Target of Bomb Blast in Southern Pakistan http://t.co/vnoRY5rQ,,False,Sun Jan 15 15:10:40 +0000 2012,41,158566779214503937
7,The New York Times,2 Hostages Die as Danish Navy Frees Ship Hijacked by Pirates http://t.co/2LT0APeK,,False,Tue Feb 28 18:30:46 +0000 2012,28,174562202508988416
17,The New York Times,Alberto Contador Found Guilty of Doping http://t.co/D5JYpYeQ,,False,Mon Feb 06 11:39:27 +0000 2012,153,166486157427867648
6,The New York Times,Obama Will Try to Blunt Attacks on Gas Prices http://t.co/ynYiGL6m,,False,Thu Feb 23 17:38:35 +0000 2012,31,172737130865496066
2,The New York Times,Wheels: Detroit Auto Show: Lincoln MKZ Concept http://t.co/xys3Cs4W,,False,Tue Jan 10 16:58:00 +0000 2012,16,156781849119698944
8,The New York Times,"Nation’s Cities Almost Free of Segregation, Study Finds http://t.co/vhuan0jm",,False,Mon Jan 30 17:47:32 +0000 2012,43,164042073769652225
27,The New York Times,"After Birth by Beyoncé, Patients Protest Celebrity Security at Lenox Hill Hospital http://t.co/fcKtRZwA",,False,Tue Jan 10 03:22:29 +0000 2012,175,156576616338817024
15,The New York Times,"Disruptions: Taxi Supply and Demand, Priced by the Mile http://t.co/Ri03dmB6",,False,Sun Jan 08 21:17:24 +0000 2012,30,156122353359794177
7,The New York Times,"For Iraqis, Aid to Syrian Rebels Repays a War Debt http://t.co/sixqHkf2",,False,Mon Feb 13 03:36:34 +0000 2012,46,168901351810674688
12,The New York Times,"In Amanda Knox Tale, a Delicate Bet for Publishers http://t.co/RopXASlm",,False,Sun Feb 12 22:19:58 +0000 2012,21,168821674286919681
3,The New York Times,The Caucus: End of Primary Debates May Be in Sight http://t.co/heOfpbpc,,False,Thu Feb 16 22:08:08 +0000 2012,9,170268248053514240
48,The New York Times,Vegans Muscle Their Way Into Bodybuilding http://t.co/TKLiZ3KU,,False,Thu Jan 05 11:21:32 +0000 2012,153,154885237472624640
