City,State,year,CO,NO2,O3,SO2
Albuquerque,New Mexico,2011,0.20552209476661953,13.406795132956153,0.03271685289957567,0.4040336336633663
Albuquerque,New Mexico,2012,0.1843764192200557,13.742087632311978,0.03196546796657382,0.6469370766016713
Albuquerque,New Mexico,2013,0.21493143654114366,11.7707440027894,0.03306059414225941,0.7893405188284519
Albuquerque,New Mexico,2014,0.22087208136300418,11.614180335187761,0.030883371349095967,0.5355299916550765
Austin,Texas,2012,0.1483206875,8.31354334375,0.02404275,0.485593484375
Austin,Texas,2013,0.09248236486486487,5.478937816816817,0.028418525525525526,0.4942541066066066
Austin,Texas,2014,0.12097079436619719,4.7751995464788735,0.02972027887323944,0.4145317028169014
Boston,Massachusetts,2008,0.17325902191780823,19.67869035890411,0.020513361643835618,2.330869483561644
Boston,Massachusetts,2009,0.28653484626038783,18.048384709141274,0.021127415512465376,2.126782941828255
Boston,Massachusetts,2010,0.28041973305670814,17.052750012448133,0.02220179529737206,1.5808720235131397
Boston,Massachusetts,2011,0.28804926923076923,18.529944335164835,0.020850771978021976,1.2489172087912088
Boston,Massachusetts,2012,0.2773831311018131,15.805084535564854,0.020715857740585774,1.101261649232915
Boston,Massachusetts,2013,0.2732709398868458,17.477490663366336,0.021589364922206505,1.0711304285714285
Boston,Massachusetts,2014,0.27640229813664596,15.571230801242237,0.021383965838509315,1.0277057298136647
Charlotte,North Carolina,2008,0.32285143663911847,11.208203371900826,0.028049355371900828,2.070266874655647
Charlotte,North Carolina,2009,0.29387604142857143,9.851958402857143,0.025921465714285715,0.8021515
Charlotte,North Carolina,2010,0.32866650421348315,11.689251356741574,0.028404657303370787,0.9044115351123595
Charlotte,North Carolina,2011,0.3389694142053446,9.995173922644163,0.02928011251758087,0.5708105450070323
Charlotte,North Carolina,2012,0.2804061826298701,8.671511397727272,0.02801424025974026,0.2337694375
Charlotte,North Carolina,2013,0.2886447336647727,8.482232184659091,0.025435673295454545,0.2538279133522727
Charlotte,North Carolina,2014,0.2729606289445049,9.059265490750816,0.026454951033732316,0.32182676496191515
Cleveland,Ohio,2011,0.2938866592178771,15.380731418994413,0.024221944134078213,4.850873719273743
Cleveland,Ohio,2012,0.28025394886363636,13.836349414772727,0.02388796590909091,3.035691644886364
Cleveland,Ohio,2013,0.2427127602739726,12.929070279452056,0.02164853698630137,2.2648609089041094
Cleveland,Ohio,2014,0.25182814969029593,12.322386467997248,0.022135121128699243,2.4135029704060567
Dallas,Texas,2008,0.29808579519595446,12.535811499367888,0.022610002528445007,0.5266660088495575
Dallas,Texas,2009,0.2840047866242038,12.460050929936306,0.01945868152866242,0.5350399394904458
Dallas,Texas,2010,0.26415260055865925,13.106137717877095,0.024907092178770948,0.6416402248603352
Dallas,Texas,2011,0.2936598308823529,12.95696673235294,0.027634123529411764,0.6412216352941177
Dallas,Texas,2012,0.20568018556701032,11.491539594992636,0.02776658321060383,0.2613785169366716
Dallas,Texas,2013,0.23171508716875872,11.573374493723849,0.027554071129707113,0.17687030404463042
Dallas,Texas,2014,0.21107074579831933,10.375623028011205,0.026626498599439778,0.25556487394957983
Denver,Colorado,2008,0.7734203428571429,42.04014739047619,0.009511133333333333,4.010977961904762
Denver,Colorado,2012,0.39629035335413415,23.99287412480499,0.026340110764430578,2.015795706708268
Denver,Colorado,2013,0.39589704545454546,24.06972596875,0.0233925,1.8309069616477274
Denver,Colorado,2014,0.34951832596685084,22.725960022099446,0.024290060773480664,0.9662043370165746
Houston,Texas,2008,0.22110545971223022,14.189382690647482,0.021417988489208634,1.4905702733812949
Houston,Texas,2009,0.18400794652014651,9.511553373626374,0.02125410769230769,1.4048435201465201
Houston,Texas,2010,0.23336930139372822,13.151556348432056,0.023325778397212543,1.5511006585365854
Houston,Texas,2011,0.21348996197183098,12.000457564788732,0.023595757746478874,0.8915080901408451
Houston,Texas,2012,0.21620788247566064,12.519600258692629,0.02253144228094576,0.7811714860917942
Houston,Texas,2013,0.22194773776223775,11.960178397202798,0.021628907692307693,0.3860176167832168
Houston,Texas,2014,0.2132592009943182,12.236241011363637,0.020253791193181818,0.16146969886363638
Long Beach,California,2008,0.5300114713114754,20.804859838797814,0.02246593442622951,2.1757865300546446
Long Beach,California,2009,0.50218206,21.110325575384614,0.020877704615384615,1.2218839815384615
Long Beach,California,2010,0.38276277323943664,20.57948687605634,0.021907532394366196,1.0427684352112676
Long Beach,California,2011,0.385056194092827,18.787120197468354,0.02379651983122363,0.8579082978902953
Long Beach,California,2012,0.5543819119318182,22.07338078125,0.019629434659090908,0.6991100482954545
Long Beach,California,2013,0.43337267325800377,17.45904127495292,0.025904632768361583,0.7263076817325801
Long Beach,California,2014,0.5195360018450185,20.74080859409594,0.02162479335793358,1.3238203062730627
Los Angeles,California,2008,0.3770433695652174,20.40428186231884,0.023782071014492753,0.9936748463768116
Los Angeles,California,2009,0.5202506788031723,21.817589926459984,0.02291665032444124,1.0297706369863013
Los Angeles,California,2010,0.44905509668109667,18.640970593073593,0.0226338556998557,0.46663488744588744
Los Angeles,California,2011,0.4168925448625181,20.027220552821998,0.02231981620839363,0.29906115412445733
Los Angeles,California,2012,0.5571892908343126,19.812094511163338,0.022420280846063456,0.3934596122209166
Los Angeles,California,2013,0.48439078145336223,18.86674186605206,0.023544954989154012,0.285641624186551
Los Angeles,California,2014,0.4995832992198256,18.831111270766407,0.02611350068838917,0.26485477627351994
Louisville,Kentucky,2013,0.3517634817073171,14.108201243902439,0.015324060975609757,1.4973032987804877
Louisville,Kentucky,2014,0.2613089755351682,11.438002149847096,0.02048156880733945,1.4575314816513762
New York,New York,2008,0.49540508173690934,23.104233494252874,0.01975885185185185,5.214913222860792
New York,New York,2009,0.40040729333333336,21.685016767407408,0.019429961481481482,4.512121793333334
New York,New York,2010,0.4488497374301676,19.711397237430166,0.02330619273743017,3.8569433987430166
New York,New York,2011,0.3861160813204509,21.2029087294686,0.021189157809983896,4.109286421900161
New York,New York,2012,0.34347082558139536,18.094765563611492,0.024573976744186047,2.5156718166894665
New York,New York,2013,0.30567513730929263,17.91965873786408,0.024628091539528434,1.8067857808599168
New York,New York,2014,0.27494524369747897,16.92059225630252,0.024053095238095238,1.4327756841736694
Oakland,California,2010,0.30141813157894737,17.988202210526318,0.014316105263157896,0.9911024736842106
Oakland,California,2011,0.37605338493150686,15.737148682191782,0.017591668493150685,1.0543877369863013
Oakland,California,2012,0.47500202535211267,14.879765326760563,0.01926951267605634,0.7067528267605634
Oakland,California,2013,0.5155763090659341,16.772931173076923,0.01747141208791209,0.5037992376373627
Oakland,California,2014,0.5100146082191781,14.286363873972602,0.020135824657534246,0.48945266712328767
Oklahoma City,Oklahoma,2011,0.2161026049382716,6.395188049382716,0.039083456790123455,0.6280891111111111
Oklahoma City,Oklahoma,2012,0.12889612258953168,5.390243914600551,0.034558724517906335,0.23495950826446282
Oklahoma City,Oklahoma,2013,0.13634707988980715,5.661837820936639,0.03264412947658402,0.21924611019283746
Oklahoma City,Oklahoma,2014,0.1498470826446281,5.00492417630854,0.03207114600550964,0.07977749173553719
Philadelphia,Pennsylvania,2008,0.29814677809388335,19.60680646514936,0.01848109815078236,3.354790748221906
Philadelphia,Pennsylvania,2009,0.3204151931034483,18.313957419310345,0.01926823448275862,2.575729048275862
Philadelphia,Pennsylvania,2010,0.2960357780082988,17.72435695297372,0.022567345781466113,2.2393490318118947
Philadelphia,Pennsylvania,2011,0.284067783933518,20.258793479224376,0.021276060941828254,1.8126758060941828
Philadelphia,Pennsylvania,2012,0.2839995603085554,17.90548104628331,0.018470058906030856,1.017612613604488
Philadelphia,Pennsylvania,2013,0.26600176780626783,16.3574049002849,0.017873062678062678,1.1948922535612536
Philadelphia,Pennsylvania,2014,0.311895084057971,18.687883049275364,0.02345576231884058,2.401465744927536
Phoenix,Arizona,2008,0.5281851593567252,20.894875136695905,0.02537909649122807,1.9256166604532163
Phoenix,Arizona,2009,0.5154726988795518,19.618947528011205,0.02497357843137255,1.6244319278711485
Phoenix,Arizona,2010,0.4334254,18.29945044242424,0.025740836363636364,1.3854837068181818
Phoenix,Arizona,2011,0.44928010912511757,19.89117057572907,0.02514961053621825,1.1180218607714016
Phoenix,Arizona,2012,0.40759296705882353,19.94306256627451,0.026627890980392158,1.2512785678431373
Phoenix,Arizona,2013,0.4075664311183144,18.130289346839547,0.027367056726094,1.0081505794165315
Phoenix,Arizona,2014,0.4823538704225352,17.99521979577465,0.02671251971830986,1.2063104387323944
Portland,Oregon,2008,0.3362149557926829,10.952497088414635,0.019139314024390244,0.9716905564024391
Portland,Oregon,2009,0.3244238429394813,10.359543484149857,0.019251651296829972,1.6073562622478386
Portland,Oregon,2010,0.324466198630137,9.054466978082191,0.019020553424657534,1.338063201369863
Portland,Oregon,2011,0.3368955714285714,9.132214090062112,0.018564717391304348,0.7425561102484473
Portland,Oregon,2012,0.2961488842592593,9.06379174691358,0.021104802469135802,0.6284328317901234
Portland,Oregon,2013,0.29224723573573574,9.730130672672672,0.01759111111111111,1.0765544954954955
Portland,Oregon,2014,0.24234000149925036,8.553654308845577,0.020886377811094453,0.84132140029985
Raleigh,North Carolina,2014,0.264770068115942,5.993436404347826,0.027255727536231886,0.345519231884058
San Antonio,Texas,2008,0.2870115647887324,8.874186715492957,0.024877876056338028,0.44982155070422536
San Antonio,Texas,2009,0.237086909215956,8.311208778541953,0.024156002751031636,0.3973464312242091
San Antonio,Texas,2010,0.35105529142857145,8.428030268571428,0.023945274285714285,0.6547697828571428
San Diego,California,2008,0.7350171493212669,21.82135035444947,0.024920843137254903,2.6291116840120665
San Diego,California,2009,0.6401056237897649,19.292999753803596,0.024585908713692945,2.7070537593360995
San Diego,California,2010,0.5637312291066282,16.860523851585015,0.02554676224783862,0.49558660158501444
San Diego,California,2011,0.5173885414364641,14.892242861878453,0.028409408839779004,1.1624315193370165
San Francisco,California,2008,0.42761325342465756,15.690760912328766,0.021041309589041095,0.9612938698630137
San Jose,California,2009,0.35098984285714285,13.40817526984127,0.01825899365079365,0.3369833523809524
San Jose,California,2010,0.3506244589041096,14.377682336986302,0.019641865753424657,0.3354695904109589
San Jose,California,2011,0.3759800382436261,14.78435300283286,0.01993914730878187,0.29689195609065155
San Jose,California,2012,0.35027508815427,13.267825473829202,0.0209246391184573,0.33140488980716254
